location_type,time_of_day,day_of_week,num_suspects,weapon_involved,known_offender,prior_incidents,suspect_age,officer_on_scene,crime_type,latitude,longitude,description,date
Commercial,Afternoon,Monday,3,None,No,1,58,Yes,Theft,28.6094316012526,77.21276769390792,Type: Theft | Location: Commercial | Time: Afternoon | Weapon: None | Suspects: 3,2016-04-12
Residential,Morning,Tuesday,5,Gun,Yes,7,53,No,Theft,28.62023983975392,77.2029753140819,Type: Theft | Location: Residential | Time: Morning | Weapon: Gun | Suspects: 5,2023-02-25
Alley,Afternoon,Thursday,1,Blunt Object,Yes,0,53,No,Theft,28.59922488809087,77.19534799075447,Type: Theft | Location: Alley | Time: Afternoon | Weapon: Blunt Object | Suspects: 1,2021-11-11
Residential,Morning,Thursday,4,Gun,No,8,24,Yes,Robbery,28.615961207300693,77.20496115547505,Type: Robbery | Location: Residential | Time: Morning | Weapon: Gun | Suspects: 4,2016-12-31
Parking Lot,Night,Monday,4,Blunt Object,Yes,4,17,Yes,Homicide,28.59761123339939,77.19548677240617,Type: Homicide | Location: Parking Lot | Time: Night | Weapon: Blunt Object | Suspects: 4,2022-02-19
Alley,Evening,Friday,4,None,No,8,46,Yes,Theft,28.59585372253633,77.1962341052078,Type: Theft | Location: Alley | Time: Evening | Weapon: None | Suspects: 4,2022-04-27
Park,Morning,Friday,3,Knife,No,4,53,Yes,Vandalism,28.57044632036019,77.20752707449073,Type: Vandalism | Location: Park | Time: Morning | Weapon: Knife | Suspects: 3,2023-07-23
Commercial,Morning,Saturday,5,Knife,No,4,36,Yes,Vandalism,28.61359004214463,77.20513073892526,Type: Vandalism | Location: Commercial | Time: Morning | Weapon: Knife | Suspects: 5,2019-10-25
Street,Morning,Friday,5,None,No,6,29,No,Burglary,28.61121060202625,77.22863098163458,Type: Burglary | Location: Street | Time: Morning | Weapon: None | Suspects: 5,2019-02-14
Park,Morning,Monday,2,Blunt Object,Yes,8,45,Yes,Burglary,28.57086194652557,77.20865764602328,Type: Burglary | Location: Park | Time: Morning | Weapon: Blunt Object | Suspects: 2,2016-09-24
Alley,Night,Friday,3,Blunt Object,No,4,36,No,Theft,28.59686826060293,77.19773002345467,Type: Theft | Location: Alley | Time: Night | Weapon: Blunt Object | Suspects: 3,2016-01-09
Street,Evening,Thursday,5,Gun,No,4,38,No,Burglary,28.60963535568981,77.22825706366235,Type: Burglary | Location: Street | Time: Evening | Weapon: Gun | Suspects: 5,2015-01-02
Commercial,Morning,Monday,1,Knife,No,3,20,No,Assault,28.609619078177165,77.20651843781907,Type: Assault | Location: Commercial | Time: Morning | Weapon: Knife | Suspects: 1,2022-07-13
Park,Afternoon,Wednesday,1,Blunt Object,No,1,58,No,Vandalism,28.56888092523105,77.20730466688289,Type: Vandalism | Location: Park | Time: Afternoon | Weapon: Blunt Object | Suspects: 1,2024-01-30
Street,Morning,Thursday,1,Knife,Yes,4,42,No,Assault,28.61145243163761,77.22733236502248,Type: Assault | Location: Street | Time: Morning | Weapon: Knife | Suspects: 1,2024-09-18
Alley,Night,Thursday,2,Gun,Yes,8,48,No,Burglary,28.601137968240984,77.2034792524409,Type: Burglary | Location: Alley | Time: Night | Weapon: Gun | Suspects: 2,2019-06-25
Commercial,Morning,Sunday,1,None,No,3,32,Yes,Burglary,28.617606065677045,77.21035639339182,Type: Burglary | Location: Commercial | Time: Morning | Weapon: None | Suspects: 1,2020-08-29
Commercial,Night,Tuesday,2,Blunt Object,Yes,10,19,No,Robbery,28.61392897610558,77.20924985281415,Type: Robbery | Location: Commercial | Time: Night | Weapon: Blunt Object | Suspects: 2,2023-01-04
Parking Lot,Morning,Tuesday,5,Knife,No,6,16,No,Assault,28.60210005912945,77.20014667243693,Type: Assault | Location: Parking Lot | Time: Morning | Weapon: Knife | Suspects: 5,2019-07-04
Residential,Afternoon,Tuesday,3,Knife,Yes,10,17,No,Homicide,28.62283483465271,77.19505044234367,Type: Homicide | Location: Residential | Time: Afternoon | Weapon: Knife | Suspects: 3,2021-02-11
Residential,Morning,Saturday,5,Blunt Object,No,1,33,Yes,Assault,28.61564449045536,77.20369767103544,Type: Assault | Location: Residential | Time: Morning | Weapon: Blunt Object | Suspects: 5,2023-02-06
Residential,Morning,Tuesday,3,Blunt Object,Yes,8,57,No,Vandalism,28.619857358716107,77.19932262147768,Type: Vandalism | Location: Residential | Time: Morning | Weapon: Blunt Object | Suspects: 3,2016-12-10
Parking Lot,Afternoon,Sunday,4,Gun,Yes,8,59,Yes,Homicide,28.596578990502618,77.20070611709167,Type: Homicide | Location: Parking Lot | Time: Afternoon | Weapon: Gun | Suspects: 4,2021-06-24
Parking Lot,Evening,Sunday,1,Blunt Object,Yes,5,20,No,Theft,28.60297990822543,77.19628749938045,Type: Theft | Location: Parking Lot | Time: Evening | Weapon: Blunt Object | Suspects: 1,2022-10-22
Park,Afternoon,Monday,3,None,Yes,8,21,Yes,Assault,28.567436380127624,77.20900115770995,Type: Assault | Location: Park | Time: Afternoon | Weapon: None | Suspects: 3,2018-04-17
Parking Lot,Evening,Saturday,2,Knife,Yes,0,36,No,Theft,28.602891900455216,77.20043241048262,Type: Theft | Location: Parking Lot | Time: Evening | Weapon: Knife | Suspects: 2,2023-08-18
Street,Morning,Sunday,4,Knife,No,5,49,Yes,Assault,28.60601310443512,77.23221713498596,Type: Assault | Location: Street | Time: Morning | Weapon: Knife | Suspects: 4,2019-12-19
Parking Lot,Afternoon,Friday,2,Blunt Object,No,0,20,No,Homicide,28.604184797441416,77.19939283763307,Type: Homicide | Location: Parking Lot | Time: Afternoon | Weapon: Blunt Object | Suspects: 2,2020-07-16
Residential,Night,Friday,3,Blunt Object,Yes,4,41,Yes,Vandalism,28.618199183938604,77.20221380888016,Type: Vandalism | Location: Residential | Time: Night | Weapon: Blunt Object | Suspects: 3,2018-07-13
Alley,Night,Thursday,5,Gun,No,6,35,No,Assault,28.59962289807901,77.20274150730792,Type: Assault | Location: Alley | Time: Night | Weapon: Gun | Suspects: 5,2024-08-27
Commercial,Night,Wednesday,2,Blunt Object,Yes,3,29,Yes,Homicide,28.617658310071736,77.20547538025511,Type: Homicide | Location: Commercial | Time: Night | Weapon: Blunt Object | Suspects: 2,2019-10-15
Street,Evening,Monday,3,Knife,Yes,6,19,Yes,Robbery,28.614612689267755,77.2325368233743,Type: Robbery | Location: Street | Time: Evening | Weapon: Knife | Suspects: 3,2023-06-04
Commercial,Afternoon,Saturday,4,Knife,No,6,31,No,Robbery,28.618698383378824,77.21215689050524,Type: Robbery | Location: Commercial | Time: Afternoon | Weapon: Knife | Suspects: 4,2020-08-01
Parking Lot,Afternoon,Friday,5,Knife,No,1,25,Yes,Assault,28.599020643629444,77.20021120553248,Type: Assault | Location: Parking Lot | Time: Afternoon | Weapon: Knife | Suspects: 5,2015-07-28
Parking Lot,Evening,Sunday,1,Gun,Yes,7,46,No,Theft,28.600575465961967,77.20051102568247,Type: Theft | Location: Parking Lot | Time: Evening | Weapon: Gun | Suspects: 1,2024-01-04
Alley,Night,Wednesday,5,None,Yes,2,60,Yes,Theft,28.59538026359718,77.20325367111568,Type: Theft | Location: Alley | Time: Night | Weapon: None | Suspects: 5,2023-06-22
Residential,Afternoon,Wednesday,1,None,Yes,5,53,Yes,Burglary,28.623654449190127,77.1982152827268,Type: Burglary | Location: Residential | Time: Afternoon | Weapon: None | Suspects: 1,2017-11-27
Residential,Morning,Sunday,1,Knife,Yes,10,30,No,Robbery,28.615945711736533,77.19922931064757,Type: Robbery | Location: Residential | Time: Morning | Weapon: Knife | Suspects: 1,2017-12-03
Park,Evening,Friday,5,Blunt Object,Yes,6,51,Yes,Theft,28.57090505515172,77.20508204169903,Type: Theft | Location: Park | Time: Evening | Weapon: Blunt Object | Suspects: 5,2024-09-27
Alley,Afternoon,Saturday,1,None,Yes,5,17,Yes,Assault,28.60265727288471,77.20192776664751,Type: Assault | Location: Alley | Time: Afternoon | Weapon: None | Suspects: 1,2015-05-20
Parking Lot,Morning,Tuesday,3,Gun,No,4,46,No,Theft,28.6042189808512,77.19584235747863,Type: Theft | Location: Parking Lot | Time: Morning | Weapon: Gun | Suspects: 3,2017-08-06
Residential,Morning,Saturday,3,Knife,No,5,42,Yes,Burglary,28.615203107252377,77.19590917894853,Type: Burglary | Location: Residential | Time: Morning | Weapon: Knife | Suspects: 3,2020-12-21
Commercial,Night,Monday,2,Knife,Yes,4,41,No,Theft,28.611901951942432,77.21354643820484,Type: Theft | Location: Commercial | Time: Night | Weapon: Knife | Suspects: 2,2020-08-10
Commercial,Morning,Monday,2,None,No,1,59,Yes,Vandalism,28.60897061915325,77.205799978907,Type: Vandalism | Location: Commercial | Time: Morning | Weapon: None | Suspects: 2,2016-02-04
Residential,Afternoon,Sunday,5,Blunt Object,Yes,5,16,No,Theft,28.616931775623467,77.20421522612371,Type: Theft | Location: Residential | Time: Afternoon | Weapon: Blunt Object | Suspects: 5,2022-10-27
Park,Morning,Friday,1,Knife,Yes,9,32,No,Assault,28.569452212061165,77.210781818771,Type: Assault | Location: Park | Time: Morning | Weapon: Knife | Suspects: 1,2024-03-10
Alley,Evening,Saturday,4,None,Yes,1,38,Yes,Homicide,28.60297249391974,77.20427675507847,Type: Homicide | Location: Alley | Time: Evening | Weapon: None | Suspects: 4,2018-04-27
Alley,Afternoon,Monday,3,Knife,No,2,16,Yes,Burglary,28.601755223518545,77.19894150495533,Type: Burglary | Location: Alley | Time: Afternoon | Weapon: Knife | Suspects: 3,2023-03-16
Park,Morning,Friday,4,Blunt Object,Yes,4,52,No,Burglary,28.57167188103202,77.21017775662378,Type: Burglary | Location: Park | Time: Morning | Weapon: Blunt Object | Suspects: 4,2024-08-23
Commercial,Evening,Tuesday,2,Blunt Object,No,1,37,No,Burglary,28.61167673046608,77.21135589337028,Type: Burglary | Location: Commercial | Time: Evening | Weapon: Blunt Object | Suspects: 2,2015-07-12
Street,Afternoon,Thursday,5,Knife,Yes,5,23,No,Burglary,28.61047928673965,77.22565961952856,Type: Burglary | Location: Street | Time: Afternoon | Weapon: Knife | Suspects: 5,2021-10-07
Commercial,Night,Friday,5,Knife,No,6,29,Yes,Robbery,28.609952169409635,77.2107170204751,Type: Robbery | Location: Commercial | Time: Night | Weapon: Knife | Suspects: 5,2017-01-10
Residential,Night,Tuesday,3,Knife,Yes,0,17,No,Theft,28.619111604114472,77.19944019816656,Type: Theft | Location: Residential | Time: Night | Weapon: Knife | Suspects: 3,2019-11-19
Commercial,Night,Friday,1,None,Yes,7,36,Yes,Theft,28.61201907234444,77.20734646244027,Type: Theft | Location: Commercial | Time: Night | Weapon: None | Suspects: 1,2019-01-28
Park,Afternoon,Thursday,3,Knife,No,0,52,Yes,Burglary,28.56626976810717,77.20665720747861,Type: Burglary | Location: Park | Time: Afternoon | Weapon: Knife | Suspects: 3,2019-03-26
Street,Night,Friday,3,None,No,3,27,No,Burglary,28.612284219262225,77.22558814353445,Type: Burglary | Location: Street | Time: Night | Weapon: None | Suspects: 3,2019-04-08
Residential,Afternoon,Thursday,2,Blunt Object,No,1,52,No,Theft,28.62192564328963,77.1984975910288,Type: Theft | Location: Residential | Time: Afternoon | Weapon: Blunt Object | Suspects: 2,2019-02-26
Residential,Morning,Tuesday,2,Gun,No,2,58,No,Homicide,28.619763059407347,77.20047676657066,Type: Homicide | Location: Residential | Time: Morning | Weapon: Gun | Suspects: 2,2015-04-22
Street,Afternoon,Tuesday,1,Gun,No,7,52,No,Homicide,28.60780360869484,77.22617108216318,Type: Homicide | Location: Street | Time: Afternoon | Weapon: Gun | Suspects: 1,2016-10-04
Street,Evening,Sunday,3,Knife,No,0,16,Yes,Theft,28.613208207403527,77.23280076581324,Type: Theft | Location: Street | Time: Evening | Weapon: Knife | Suspects: 3,2018-11-09
Parking Lot,Morning,Saturday,5,Gun,No,2,59,No,Vandalism,28.597538841923736,77.2026153353569,Type: Vandalism | Location: Parking Lot | Time: Morning | Weapon: Gun | Suspects: 5,2017-07-18
Parking Lot,Evening,Saturday,4,Blunt Object,Yes,0,49,Yes,Homicide,28.59565048248024,77.20282630535837,Type: Homicide | Location: Parking Lot | Time: Evening | Weapon: Blunt Object | Suspects: 4,2020-06-22
Parking Lot,Afternoon,Thursday,5,None,Yes,9,23,Yes,Burglary,28.598300886144607,77.19775458996857,Type: Burglary | Location: Parking Lot | Time: Afternoon | Weapon: None | Suspects: 5,2021-06-01
Alley,Morning,Wednesday,2,Blunt Object,Yes,8,21,Yes,Burglary,28.598304686697794,77.19921577690629,Type: Burglary | Location: Alley | Time: Morning | Weapon: Blunt Object | Suspects: 2,2019-09-06
Alley,Morning,Wednesday,2,Knife,No,0,59,Yes,Assault,28.59906964918072,77.19973105616349,Type: Assault | Location: Alley | Time: Morning | Weapon: Knife | Suspects: 2,2017-07-27
Street,Afternoon,Saturday,5,Knife,No,9,28,No,Burglary,28.60527406936921,77.23222266503828,Type: Burglary | Location: Street | Time: Afternoon | Weapon: Knife | Suspects: 5,2017-07-10
Commercial,Morning,Saturday,2,Knife,Yes,2,31,Yes,Vandalism,28.615355510269904,77.20816162186662,Type: Vandalism | Location: Commercial | Time: Morning | Weapon: Knife | Suspects: 2,2018-09-30
Street,Evening,Friday,4,Gun,No,4,58,No,Vandalism,28.606968491228045,77.23334960135946,Type: Vandalism | Location: Street | Time: Evening | Weapon: Gun | Suspects: 4,2019-02-01
Park,Morning,Tuesday,2,None,Yes,6,24,No,Theft,28.57015378693209,77.20792046420824,Type: Theft | Location: Park | Time: Morning | Weapon: None | Suspects: 2,2015-04-08
Park,Night,Tuesday,5,None,Yes,0,43,No,Homicide,28.571198454941133,77.20837236760009,Type: Homicide | Location: Park | Time: Night | Weapon: None | Suspects: 5,2018-02-10
Commercial,Night,Tuesday,5,Gun,Yes,0,33,Yes,Vandalism,28.6161073746114,77.20987644822877,Type: Vandalism | Location: Commercial | Time: Night | Weapon: Gun | Suspects: 5,2021-09-29
Street,Evening,Friday,3,None,Yes,0,47,No,Homicide,28.61374093098728,77.22673116574889,Type: Homicide | Location: Street | Time: Evening | Weapon: None | Suspects: 3,2016-07-29
Alley,Afternoon,Monday,3,Gun,Yes,10,42,No,Burglary,28.60364103870081,77.19772187472893,Type: Burglary | Location: Alley | Time: Afternoon | Weapon: Gun | Suspects: 3,2016-10-16
Park,Afternoon,Friday,5,None,No,2,16,No,Assault,28.57166274128244,77.20895634125526,Type: Assault | Location: Park | Time: Afternoon | Weapon: None | Suspects: 5,2015-12-29
Park,Evening,Monday,3,Blunt Object,No,6,53,No,Theft,28.569922434589607,77.20827195373319,Type: Theft | Location: Park | Time: Evening | Weapon: Blunt Object | Suspects: 3,2017-11-06
Residential,Morning,Monday,1,Gun,No,1,41,No,Assault,28.621898034219857,77.19601517262389,Type: Assault | Location: Residential | Time: Morning | Weapon: Gun | Suspects: 1,2015-02-13
Residential,Afternoon,Wednesday,2,Knife,Yes,8,43,No,Theft,28.616488557731905,77.19595160699056,Type: Theft | Location: Residential | Time: Afternoon | Weapon: Knife | Suspects: 2,2020-03-26
Parking Lot,Night,Saturday,1,Gun,Yes,3,60,Yes,Homicide,28.604686552558803,77.19644529306028,Type: Homicide | Location: Parking Lot | Time: Night | Weapon: Gun | Suspects: 1,2021-01-23
Street,Afternoon,Tuesday,5,Blunt Object,Yes,10,49,Yes,Vandalism,28.61073894141812,77.2331294444185,Type: Vandalism | Location: Street | Time: Afternoon | Weapon: Blunt Object | Suspects: 5,2021-10-23
Alley,Morning,Tuesday,1,Blunt Object,No,3,16,Yes,Robbery,28.601668291487787,77.20007179928702,Type: Robbery | Location: Alley | Time: Morning | Weapon: Blunt Object | Suspects: 1,2022-01-25
Alley,Morning,Tuesday,2,Knife,Yes,9,24,Yes,Burglary,28.597342452271366,77.20231033928711,Type: Burglary | Location: Alley | Time: Morning | Weapon: Knife | Suspects: 2,2018-04-29
Park,Morning,Saturday,2,None,Yes,2,23,Yes,Burglary,28.56777355265268,77.21041676265409,Type: Burglary | Location: Park | Time: Morning | Weapon: None | Suspects: 2,2022-04-22
Park,Evening,Saturday,2,Blunt Object,Yes,10,22,No,Burglary,28.56578355670316,77.20549747704789,Type: Burglary | Location: Park | Time: Evening | Weapon: Blunt Object | Suspects: 2,2016-02-14
Park,Afternoon,Monday,3,Blunt Object,Yes,10,20,No,Homicide,28.563284750344543,77.21078446770132,Type: Homicide | Location: Park | Time: Afternoon | Weapon: Blunt Object | Suspects: 3,2020-07-04
Street,Morning,Friday,5,None,Yes,0,38,No,Theft,28.609490942790053,77.22575307458108,Type: Theft | Location: Street | Time: Morning | Weapon: None | Suspects: 5,2016-06-15
Park,Morning,Wednesday,5,Gun,No,0,38,Yes,Homicide,28.567864378396084,77.20928233716741,Type: Homicide | Location: Park | Time: Morning | Weapon: Gun | Suspects: 5,2019-01-19
Park,Night,Saturday,1,Knife,No,4,30,Yes,Homicide,28.57234930226804,77.20613803076056,Type: Homicide | Location: Park | Time: Night | Weapon: Knife | Suspects: 1,2024-06-01
Street,Afternoon,Friday,4,Blunt Object,No,6,48,No,Vandalism,28.605823381881702,77.23135329968876,Type: Vandalism | Location: Street | Time: Afternoon | Weapon: Blunt Object | Suspects: 4,2024-12-05
Commercial,Night,Saturday,3,Knife,Yes,5,16,Yes,Theft,28.61229094923949,77.20555440417394,Type: Theft | Location: Commercial | Time: Night | Weapon: Knife | Suspects: 3,2023-03-30
Parking Lot,Morning,Wednesday,4,None,Yes,4,24,Yes,Theft,28.60072617326121,77.19838972504267,Type: Theft | Location: Parking Lot | Time: Morning | Weapon: None | Suspects: 4,2019-12-10
Parking Lot,Evening,Thursday,1,Gun,No,9,57,Yes,Burglary,28.60058803062695,77.20305863225026,Type: Burglary | Location: Parking Lot | Time: Evening | Weapon: Gun | Suspects: 1,2015-10-02
Alley,Night,Monday,5,Blunt Object,No,4,20,Yes,Robbery,28.59955807589876,77.19603416065446,Type: Robbery | Location: Alley | Time: Night | Weapon: Blunt Object | Suspects: 5,2018-10-16
Parking Lot,Night,Tuesday,4,Gun,No,2,19,No,Vandalism,28.602423076572848,77.20325618760222,Type: Vandalism | Location: Parking Lot | Time: Night | Weapon: Gun | Suspects: 4,2021-08-05
Commercial,Night,Wednesday,4,Knife,Yes,3,35,Yes,Theft,28.616174710990087,77.20868887506101,Type: Theft | Location: Commercial | Time: Night | Weapon: Knife | Suspects: 4,2022-05-07
Parking Lot,Night,Monday,5,None,No,9,37,No,Robbery,28.59630066035045,77.20341079380334,Type: Robbery | Location: Parking Lot | Time: Night | Weapon: None | Suspects: 5,2016-04-26
Park,Evening,Monday,2,None,Yes,7,58,No,Vandalism,28.565580972853454,77.21467812319196,Type: Vandalism | Location: Park | Time: Evening | Weapon: None | Suspects: 2,2018-12-22
Commercial,Afternoon,Saturday,3,Blunt Object,Yes,0,21,Yes,Homicide,28.615967824287512,77.20831867002508,Type: Homicide | Location: Commercial | Time: Afternoon | Weapon: Blunt Object | Suspects: 3,2018-04-26
Street,Morning,Tuesday,3,None,Yes,3,56,No,Burglary,28.608481660447183,77.23242930695548,Type: Burglary | Location: Street | Time: Morning | Weapon: None | Suspects: 3,2021-08-12
Parking Lot,Morning,Wednesday,3,Knife,No,7,26,Yes,Vandalism,28.60148009574445,77.20086249455076,Type: Vandalism | Location: Parking Lot | Time: Morning | Weapon: Knife | Suspects: 3,2021-01-13
Park,Morning,Monday,3,Blunt Object,Yes,0,52,Yes,Assault,28.566113630914337,77.2058887980569,Type: Assault | Location: Park | Time: Morning | Weapon: Blunt Object | Suspects: 3,2023-11-07
Street,Evening,Saturday,5,Knife,No,1,26,No,Homicide,28.605771343713524,77.23317566786666,Type: Homicide | Location: Street | Time: Evening | Weapon: Knife | Suspects: 5,2022-06-10
Parking Lot,Morning,Sunday,5,Knife,No,2,17,No,Burglary,28.596053787012977,77.19967716271753,Type: Burglary | Location: Parking Lot | Time: Morning | Weapon: Knife | Suspects: 5,2019-12-19
Residential,Evening,Friday,1,None,No,9,19,No,Burglary,28.619500581215267,77.20036641031666,Type: Burglary | Location: Residential | Time: Evening | Weapon: None | Suspects: 1,2016-11-19
Commercial,Morning,Wednesday,3,Blunt Object,Yes,1,30,Yes,Homicide,28.618091262439627,77.21181463904459,Type: Homicide | Location: Commercial | Time: Morning | Weapon: Blunt Object | Suspects: 3,2016-05-02
Street,Evening,Monday,1,None,Yes,2,37,Yes,Assault,28.61369134495412,77.22586689521383,Type: Assault | Location: Street | Time: Evening | Weapon: None | Suspects: 1,2018-11-22
